0	10
1	10
2	10
3	10
4	10
5	10
6	10
7	10
8	10
9	10
10	10
11	10
12	10
13	10
14	10
15	10
16	10
17	10
18	10
19	10
20	10
21	10
22	10
23	10
24	10
25	10
26	10
27	10
28	10
29	10
30	10
31	10
32	10
33	10
34	10
35	10
36	11
37	11
38	11
39	11
40	11
41	11
42	11
43	11
44	11
45	11
46	11
47	11
48	11
49	11
50	11
50	11
51	11
52	11
53	12
54	14
55	20
56	25
57	32
58	38
59	44
60	49
61	56
62	61
63	62
64	62
65	62
66	62
67	62
68	62
69	62
70	67
71	68
72	70
73	71
74	71
75	71
76	71
77	71
78	71
79	71
80	71
81	71
82	71
83	71
84	71
85	72
86	72
87	72
88	72
89	72
90	72
91	72
92	72
93	72
94	72
95	72
96	73
97	73
98	73
99	73
100	73
100	73
101	70
102	70
103	70
104	70
105	70
106	70
107	71
108	71
109	71
110	71
111	71
112	71
113	71
114	71
115	71
116	71
117	71
118	71
119	71
120	72
121	72
122	72
123	73
124	74
125	74
126	74
127	74
128	74
129	74
130	75
131	76
132	78
133	79
134	79
135	79
136	79
137	80
138	80
139	80
140	81
141	81
142	81
143	80
144	80
145	80
146	80
147	80
148	80
149	80
150	80
150	80
151	80
152	81
153	81
154	80
155	78
156	72
157	71
158	67
159	64
160	61
161	59
162	56
163	53
164	54
165	53
166	53
167	53
168	52
169	52
170	51
171	47
172	47
173	45
174	44
175	44
176	44
177	44
178	44
179	44
180	44
181	44
182	44
183	44
184	44
185	44
186	43
187	43
188	43
189	43
190	43
191	43
192	43
193	43
194	43
195	43
196	43
197	43
198	42
199	41
200	41
200	41
201	40
202	40
203	39
204	38
205	38
206	38
207	38
208	37
209	38
210	38
211	36
212	36
213	36
214	35
215	33
216	33
217	33
218	33
219	33
220	33
221	34
222	34
223	34
224	34
225	33
226	33
227	33
228	33
229	33
230	33
231	32
232	31
233	30
234	30
235	30
236	30
237	30
238	30
239	30
240	29
241	29
242	29
243	29
244	29
245	29
246	29
247	29
248	29
249	29
250	29
250	29
251	29
252	28
253	27
254	27
255	27
256	26
257	25
258	25
259	24
260	24
261	22
262	22
263	21
264	21
265	21
266	21
267	21
268	21
269	21
270	21
271	20
272	19
273	18
274	18
275	18
276	18
277	18
278	18
279	18
280	18
281	18
282	17
283	17
284	16
285	16
286	16
287	16
288	16
289	16
290	16
291	16
292	16
293	16
294	16
295	16
296	16
297	15
298	15
299	15
300	15
300	15
301	14
302	15
303	15
304	14
